time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-03-13T18:32:31.200Z,35.3241,-97.958,9.345,2.6,ml,,131,,0.68,us,us10001n9m,2015-06-04T00:46:18.040Z,"1km NW of Minco, Oklahoma",earthquake,2.7,5.8,,,reviewed,tul,tul
2015-03-12T14:41:14.790Z,32.8839,-96.9075,5,2,ml,,90,0.022,0.37,us,us10001m04,2015-06-04T00:46:17.040Z,"4km SSW of Farmers Branch, Texas",earthquake,1.3,1.7,0.181,4,reviewed,us,us
2015-03-12T01:55:02.270Z,32.8775,-96.9129,8.17,2.4,mb_lg,,56,0.02,0.22,us,us10001ltl,2015-06-04T00:46:16.040Z,"5km SSW of Farmers Branch, Texas",earthquake,1.2,2.4,0.208,9,reviewed,us,us
2015-03-08T03:12:22.340Z,32.8364,-96.9026,5,2.2,mb_lg,,92,0.016,0.61,us,usc000twn2,2015-05-28T00:48:37.040Z,"4km ENE of Irving, Texas",earthquake,1.3,1.5,0.208,6,reviewed,us,us
2015-03-01T16:49:17.500Z,35.3327,-97.9656,4.899,2.6,ml,,130,,0.74,us,usc000tu7f,2015-05-19T00:29:26.040Z,"2km NW of Minco, Oklahoma",earthquake,3.1,7.9,,,reviewed,tul,tul
2015-03-01T12:28:06.500Z,35.331,-97.9672,3.894,2.8,ml,,157,,0.61,us,usc000tu6h,2015-05-19T00:29:24.040Z,"2km NW of Minco, Oklahoma",earthquake,2.1,7.7,,,reviewed,tul,tul
2015-02-27T12:18:21.710Z,32.8336,-96.9098,7.93,3.1,mb_lg,,47,0.009,0.55,us,usc000ttju,2015-05-19T00:28:56.040Z,"4km ENE of Irving, Texas",earthquake,3,5.5,0.071,52,reviewed,us,us
2015-01-23T15:16:01.500Z,32.8904,-96.8967,8.74,2.2,mb_lg,,66,0.03,0.43,us,usc000tiqy,2015-04-24T16:55:16.040Z,"4km S of Farmers Branch, Texas",earthquake,1.7,1.5,0.255,6,reviewed,us,us
2015-01-20T20:50:02.540Z,32.8526,-96.9265,8.32,2.5,mb_lg,,56,0.005,0.43,us,usc000ti0s,2015-04-20T16:05:38.040Z,"4km NNE of Irving, Texas",earthquake,2.5,2.9,0.124,21,reviewed,us,us
2015-01-20T20:43:17.470Z,32.8536,-96.9029,10.4,2.4,mb_lg,,76,0.027,0.16,us,usc000thmp,2015-04-20T16:05:37.040Z,"6km NE of Irving, Texas",earthquake,2.4,1.5,0.18,8,reviewed,us,us
2015-01-20T20:25:49.390Z,32.8221,-96.9055,9.04,3,mb_lg,,65,0.015,0.66,us,usc000thky,2015-04-20T16:05:37.040Z,"4km ENE of Irving, Texas",earthquake,4.5,6.7,0.062,69,reviewed,us,us
2015-01-20T19:37:04.150Z,32.8615,-96.9093,8.77,2.6,mb_lg,,63,0.031,0.44,us,usc000thki,2015-04-20T16:05:37.040Z,"6km NE of Irving, Texas",earthquake,2.9,2.8,0.111,24,reviewed,us,us
2015-01-20T14:04:03.170Z,32.8492,-96.9152,9.83,2.3,mb_lg,,64,0.006,0.17,us,usc000thgg,2015-04-20T16:05:37.040Z,"5km NE of Irving, Texas",earthquake,1.9,1.5,0.161,11,reviewed,us,us
2015-01-18T02:00:04.200Z,32.852,-96.9378,5,2.2,ml,,64,0.013,0.55,us,usc000tgvx,2015-04-20T16:05:33.040Z,"4km NNE of Irving, Texas",earthquake,1.9,1.9,0.097,16,reviewed,us,us
2015-01-14T19:02:34.140Z,32.8396,-96.8998,5,1.9,mb_lg,,92,0.056,0.5,us,usc000tfw5,2015-04-10T18:56:33.040Z,"5km ENE of Irving, Texas",earthquake,2.2,1.8,0.255,6,reviewed,us,us
2015-01-12T01:46:06.570Z,32.8175,-96.8769,5,2.4,mb_lg,,65,0.044,0.54,us,usc000ter3,2015-05-04T14:24:04.508Z,"6km E of Irving, Texas",earthquake,5,2,0.12,20,reviewed,us,us
2015-01-09T17:39:14.500Z,32.8418,-96.8936,5.03,2.4,mb_lg,,64,0.057,0.49,us,usc000te7j,2015-04-10T18:56:28.040Z,"6km ENE of Irving, Texas",earthquake,2.7,6.2,0.154,13,reviewed,us,us
